Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
14,"E Fasoli, A D'Amato, A Citterio, PG Righetti","Anyone for an aperitif? Yes, but only a Braulio DOC with its certified proteome",2012,"Journal of proteomics","Elsevier","https://www.sciencedirect.com/science/article/pii/S1874391912002266","https://scholar.google.com/scholar?cites=6609441900757814623&as_sdt=2005&sciodt=0,5&hl=en",96,"2021-05-06 20:54:20","","","","",,,,,14,1.56,4,4,9,"… extension of this work would be to explore the trace proteome of aperitifs, ie alcoholic beverages half a way in between wines (with a 11–13 … It is widely held that the first aperitif was produced in 1786 in Turin, Italy, when Antonio Benedetto Carpano invented vermouth (probably a …"
13,"D DeGroff","The Essential Cocktail: The Art of Mixing Perfect Drinks",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QQPQnCwBdJ8C&oi=fnd&pg=PT9&dq=wermouth+wine+martini&ots=u8JnkeHi35&sig=Iu61bLrU6yMldAHGYV-o87KJZoM","https://scholar.google.com/scholar?cites=11057096235912853964&as_sdt=2005&sciodt=0,5&hl=en",56,"2021-05-06 20:54:20","BOOK","","","",,,,,13,1.18,13,1,11,"… Italian sweet vermouth ½ ounce Benedictine Shortbread cookie, for garnish Stir the scotch, vermouth, and Benedictine … Then, in 1836, a wine merchant in Faecamp by the name of Alexandra LeGrand … Let other poets raise a fracas A'bout vines, an' wines, an' drunken Bacchus An …"
5,"M Hellmich","The ultimate bar book: the comprehensive guide to over 1,000 cocktails",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=q43NAVAcIAkC&oi=fnd&pg=PA6&dq=wermouth+wine+martini&ots=Uomdo4yggE&sig=SglditLmo2QSDFHV2f5KHmKwXAI","https://scholar.google.com/scholar?cites=15893640252882850855&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-05-06 20:54:20","BOOK","","","",,,,,5,0.45,5,1,11,"… MARTINI PITCHER AND STIRRER These tall, elegant glass pitchers are used for stirring and chilling crystal-clear cocktails such as Martinis … bucket with handles, usually metal, that, when filled with ice, will keep your champagne, white wine, or sweet dessert wines chilled …"
5,"NN Sazhina, VM Misin, EI Korotkova, OA Voronova…","Determination of total antioxidant content in various drinks by amperometry",2014,"Procedia …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1876619614000588","https://scholar.google.com/scholar?cites=7395126519951928871&as_sdt=2005&sciodt=0,5&hl=en",79,"2021-05-06 20:54:20","","","","",,,,,5,0.71,1,5,7,"… 30 Sevastopol Winery, the Crimea Sparkling white muscat, 2009 84.4 31 Artemovskoe Shampanskoe, the Crimea Brut champagne white, 2009 92.1 … 48 Port wine Adam, Azerbaijan Port wine, 2008 63.6 49 Martini Vermouth, Azerbaijan Vermouth white, 2009 28.7 …"
5,"M Wellmann","Handcrafted Cocktails: The Mixologist's Guide to Classic Drinks for Morning, Noon & Night",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=mBljDwAAQBAJ&oi=fnd&pg=PT17&dq=wermouth+wine+martini&ots=bLxK4wjS0n&sig=2kCH3heRfnN7CzrI2ZHSOePJsP8","https://scholar.google.com/scholar?cites=8930477624904709300&as_sdt=2005&sciodt=0,5&hl=en",86,"2021-05-06 20:54:20","BOOK","","","",,,,,5,0.63,5,1,8,"… Vesper Martini French 75 Maiden's Prayer Aviation Southside Communist Cocktail Gaby de Lys Suddenly Seamore Attention Cocktail BRANDY Sidecar Spificator RUM Between the Sheets Airmail Cocktail Lime In The Coconut … Humans have been drinking beer and wine since …"
4,"AWA Schmid","The Manhattan Cocktail: A Modern Guide to the Whiskey Classic",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Q8JwCgAAQBAJ&oi=fnd&pg=PP1&dq=wermouth+wine+martini&ots=Ne458CoOL-&sig=u8aI_vGE3XqTaJUBTFVMB-A_CVg","https://scholar.google.com/scholar?cites=15136554677419495638&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-05-06 20:54:20","BOOK","","","",,,,,4,0.67,4,1,6,"… Today, many bartenders are reviving the use of fortified wines in modern cocktails.9 The traditional Manhattan is made with sweet vermouth … Sweet vermouth is red or amber in color, and the base wine is aged from two to three years in oak casks before it is fortified and …"
4,"E Duecy","Storied Sips: Evocative Cocktails for Everyday Escapes, with 40 Recipes",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=0WYaZwb11xsC&oi=fnd&pg=PT7&dq=wermouth+wine+martini&ots=ZWIgWl5fNk&sig=yhgw76K0PVSWnPGQhOZ6-WpYC84","https://scholar.google.com/scholar?cites=2434573503725903334&as_sdt=2005&sciodt=0,5&hl=en",60,"2021-05-06 20:54:20","BOOK","","","",,,,,4,0.50,4,1,8,"… European cultures have been mixing spiritsand liqueurs with wines and juicesfor generations, with aperitifs liketheKir Royal and Portonic as evidence.But cocktails areauniquely American innovation … By definition, vermouth is just fortified wine with herbs and botanicals.Until …"
4,"A Hesser","The Essential New York Times Cookbook: Classic Recipes for a New Century",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QWrVBAAAQBAJ&oi=fnd&pg=PT5&dq=wermouth+wine+martini&ots=O9vcPBoLbQ&sig=TFLxCAXHboNt_b0zISfa_CwbyO4","https://scholar.google.com/scholar?cites=3197669852301117244&as_sdt=2005&sciodt=0,5&hl=en",67,"2021-05-06 20:54:20","BOOK","","","",,,,,4,0.36,4,1,11,"… 1950s— • Passenger jets make travel easier, giving Americans firsthand accessto French cheese and wines … Page 14. the Silver Palate opens on Manhattan's Upper West Side. —1978— • Robert Parker begins publishingThe Wine Advocate; soon wineries quail at his name …"
4,"G Regan","The Negroni: Drinking to la Dolce Vita, with Recipes and Lore",2015,"","Ten Speed Press","","https://scholar.google.com/scholar?cites=9041451045071661479&as_sdt=2005&sciodt=0,5&hl=en",69,"2021-05-06 20:54:20","CITATION","","","",,,,,4,0.67,4,1,6,""
3,"A Morata, C Vaquero, F Palomero, I Loira…","Technology of vermouth wines",2019,"Alcoholic …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128152690000027","https://scholar.google.com/scholar?cites=1666650235248199215&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-05-06 20:54:20","","","","",,,,,3,1.50,1,5,2,"… produces dry and sweet vermouths, and the last important company is The Wine Group (Livermore … As just mentioned, recently, some brands of vermouth from countries with less tradition in the … also appearing in the global market, such is the case of Quady Winery's “Vya” from …"
3,"J Brown, A Miller","The Mixellany Guide to Vermouth & Other Aperitifs",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=pj9REBvTV3cC&oi=fnd&pg=PT2&dq=vermouth+wine+martini&ots=Y3J_vmGdYL&sig=eFRGXvJtuAVoww0m1nyNIKSzNVo","https://scholar.google.com/scholar?cites=8908436930865906816&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-05-06 20:54:20","BOOK","","","",,,,,3,0.30,2,2,10,"… Nods of gratitude go to Andrew Quady of Quady Winery, Neil Kopplin and Derek Einberger of Imbue Vermouth, Raj and … introduced French cuisine to the United States, was known to enjoy Reverse Martinis, mixing five parts dry vermouth to one part gin in a wine goblet filled …"
3,"V Reynolds","The Little Black Book of Cocktails: The Essential Guide to New and Old Classics",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=SVqnavIG-uIC&oi=fnd&pg=PA6&dq=wermouth+wine+martini&ots=8d00r84Yo3&sig=3dh2AgmAMXGsG5Ke-GJKxX0Qm4Y","https://scholar.google.com/scholar?cites=7347671155266118681&as_sdt=2005&sciodt=0,5&hl=en",43,"2021-05-06 20:54:20","BOOK","","","",,,,,3,0.27,3,1,11,"… Cocktails .....14 How to Flame a Drink .....16 COCKTAILS CLASSIQUE .....17 Standbys from the Age of Elegance THE MARTINI .....48 Introducing … Finish with a little port wine on top … sweet vermouth Club soda Stir first two ingredients in an iced rocks glass …"
3,"E Ferguson","Drink London",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=aVtwDwAAQBAJ&oi=fnd&pg=PP1&dq=wermouth+wine+martini&ots=1kY12WvAdl&sig=RR-AUrQhnwV84XBjOZHsT1ItRKs","https://scholar.google.com/scholar?cites=3682451329765001423&as_sdt=2005&sciodt=0,5&hl=en",83,"2021-05-06 20:54:20","BOOK","","","",,,,,3,1.00,3,1,3,"… calvados, cognac, armagnac, cidre, liqueur, and of course all that wine… France may … ESSENTIAL ORDER The signature Black Cats, with Tanqueray, vermouth, 'removed cream' (ask for the … devoted to ferments made with house yeasts, which taste intriguingly like natural wines …"
3,"M Simmons","DIY Cocktails: A simple guide to creating your own signature drinks",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=QPLsDQAAQBAJ&oi=fnd&pg=PT7&dq=wermouth+wine+martini&ots=BmpLR8aEm6&sig=Gc1Zi2KeDKoCqKIkDyalBK5QjKY","https://scholar.google.com/scholar?cites=2085261000223116520&as_sdt=2005&sciodt=0,5&hl=en",87,"2021-05-06 20:54:20","BOOK","","","",,,,,3,0.30,3,1,10,"… Aromatic ingredients such as aperitifs like vermouth and bitter liqueurs like amaro are included as a … Instead of Martini glasses, many hot spots are using coupes — four- to six-ounce shallow … You'll probably want Champagne flutes, stemware for red and white wine, pint glasses …"
3,"A Morata, C Vaquero, F Palomero, I Loira…","Technology of vermouth wines",2019,"Alcoholic …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128152690000027","https://scholar.google.com/scholar?cites=1666650235248199215&as_sdt=2005&sciodt=0,5&hl=en",91,"2021-05-06 20:54:20","","","","",,,,,3,1.50,1,5,2,"… produces dry and sweet vermouths, and the last important company is The Wine Group (Livermore … As just mentioned, recently, some brands of vermouth from countries with less tradition in the … also appearing in the global market, such is the case of Quady Winery's “Vya” from …"
2,"GM Rodriguez-Muñiz, MA Miranda, ML Marin","A time-resolved study on the reactivity of alcoholic drinks with the hydroxyl radical",2019,"Molecules","mdpi.com","https://www.mdpi.com/1420-3049/24/2/234","https://scholar.google.com/scholar?cites=1405586107490545247&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-05-06 20:54:20","","","","",,,,,2,1.00,1,3,2,"… The antioxidant activity of phenolic compounds contained in grapes and red wines has been confirmed based on the inhibition of lipid peroxidation experiments [21] … The first group contained red wine, white wine, white vermouth, marc and brandy (all derived from grapes …"
2,"C Charming","The Everything Bartender's Book: Your complete guide to cocktails, martinis, mixed drinks, and more!",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=tnbrDQAAQBAJ&oi=fnd&pg=PT10&dq=wermouth+wine+martini&ots=W66ggA76Po&sig=aHlMtPAf7rWnCBQdgPn5he4e77k","https://scholar.google.com/scholar?cites=7275958484492942615&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-05-06 20:54:20","BOOK","","","",,,,,2,0.33,2,1,6,"… And since James Bond ordered a vodka martini in the film Dr. No in 1962, vodka and dry vermouth has become acceptable as well … Aperitifs with a wine base such as vermouth bleed over into the aperitif and cordial chapter …"
2,"L Iaia, F Monica, P Scorrano, M Amedeo…","Wine web value: web marketing strategies for family businesses",2016,"9th Annual Conference …","iris.unipa.it","https://iris.unipa.it/retrieve/handle/10447/223701/405869/euromed2016bof.pdf#page=1006","https://scholar.google.com/scholar?cites=7289367273656298359&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-05-06 20:54:20","PDF","","","",,,,,2,0.40,0,5,5,"… establishes a relationship with the user, offering him the educational opportunity to expand his knowledge as wine enthusiasts, activities held at the winery to promote wine … (§ ) Wine division, which only includes:«Riccadonna»,«Cinzano»(vermouth and spumante …"
2,"N Bovis","Edible Cocktails: From Garden to Glass-Seasonal Cocktails with a Fresh Twist",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=aRjtDQAAQBAJ&oi=fnd&pg=PT15&dq=wermouth+wine+martini&ots=brb_PC-8d_&sig=AarfTI4ko_l4RjX5KOuNKkbroDY","https://scholar.google.com/scholar?cites=2355570131853504225&as_sdt=2005&sciodt=0,5&hl=en",33,"2021-05-06 20:54:20","BOOK","","","",,,,,2,0.22,2,1,9,"… MARTINI (COCKTAIL): V-shaped cocktail glass known as the martini glass; not only martinis are served … Chill the glassware when serving cold drinks such as white, sweet, or rosé wine. DECANTER: Usually used for expensive red wines that react well with a bit of oxygen before …"
2,"L Jacobson","Will It Be Wine or Cocktails? The Quest to Build a Mass Market for California Wine after Prohibition",2017,"Enterprise & Society","cambridge.org","https://www.cambridge.org/core/journals/enterprise-and-society/article/will-it-be-wine-or-cocktails-the-quest-to-build-a-mass-market-for-california-wine-after-prohibition/D5CDFB9D2449900D83625560A819AE2B","https://scholar.google.com/scholar?cites=8347520298545377409&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-05-06 20:54:20","","","","",,,,,2,0.50,2,1,4,"… the Restaurant Crillon in New York City, observed, “Hard liquors show a better percentage than wines … steward can show.”32 Even if hotels and restaurants doubled wine's wholesale price, wine profits still … “A $2.50 bottle of gin and a few pennies' worth of vermouth,” the Atlantic …"
2,"D El Chami, M El Moujabber","Competitiveness of Lebanese wine: new shoots from ancient roots",2014,"Journal of wine research","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/09571264.2014.959658","https://scholar.google.com/scholar?cites=2256444253524909093&as_sdt=2005&sciodt=0,5&hl=en",49,"2021-05-06 20:54:20","","","","",,,,,2,0.29,1,2,7,"… This winery is a 100% eco-friendly winery and was hailed as one of Cable News Network (CNN's) 'Greenest … yearly basis for the comparator regions across agro-food products and wine products (including quality wine, wine of fresh grapes, sparkling wines and vermouth) …"
2,"J Perrine, S Reigler","More Kentucky Bourbon Cocktails",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=e5d2DAAAQBAJ&oi=fnd&pg=PP1&dq=wermouth+wine+martini&ots=_2cKrukSak&sig=Tmse_dskLwMNfrPDGGmYX9DzqbM","https://scholar.google.com/scholar?cites=13712301735428038304&as_sdt=2005&sciodt=0,5&hl=en",93,"2021-05-06 20:54:20","BOOK","","","",,,,,2,0.40,1,2,5,"… a fortified wine, so these recipes offer a little twist on the classic by using Kentucky wines in place of the vermouth. While you are probably aware that 95 percent of the world's bourbon is made in Kentucky, you may not know that the state was home to the first commercial winery …"
1,"PS Panesar, VK Joshi, V Bali, R Panesar","Technology for Production of Fortified and Sparkling Fruit Wines",2017,"… and Technology of Fruit Wine …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128008508000090","https://scholar.google.com/scholar?cites=10021381475998625226&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-05-06 20:54:20","","","","",,,,,1,0.25,0,4,4,"… These types of wines are quite popular in European countries and in the United States in spite of their commercial production in Russia and Poland (Griebel, 1955, Amerine et al., 1980) … The most essential feature of base wine for conversion into vermouth is that it …"
1,"T Sandham","World's Best Cocktails: 500 Signature Drinks from the World's Best Bars and Bartenders",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=bQQNAAAAQBAJ&oi=fnd&pg=PP2&dq=wermouth+wine+martini&ots=udg9Httsvu&sig=NttYF9pSAcrcyc7wiEcQ_I7eA2g","https://scholar.google.com/scholar?cites=7252093100506678759&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-05-06 20:54:20","BOOK","","","",,,,,1,0.11,1,1,9,"… Bitters, and in 1786 the Italian distiller Antonio Benedetto Carpano invented the vermouth that proves … are legacies from these decades, but while 007 reminded us that the Martini was the … However, by the 1970s wine was gaining market share and cocktails were as popular as …"
1,"S Gorjanović, F Pastor, S Loupassaki…","Serbian aromatized wine “Bermet”: Electrochemical, chemiluminescent and spectrophotometric determination of antioxidant activity",2020,"Journal of the …","cherry.chem.bg.ac.rs","http://cherry.chem.bg.ac.rs/handle/123456789/4058","https://scholar.google.com/scholar?cites=11067767189030044294&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-05-06 20:54:20","","","","",,,,,1,1.00,0,4,1,"… Bermet is prepared in a similar way to Vermouth, from white or red grapes, by maceration of herbs, fruits and … ANTIOXIDANT ACTIVITY OF “BERMET” WINE … assay using 9,10-diphenylanthracene as a fluorophore16 was used to assess H2O2 quenching activity of wines.17 On …"
1,"HC Andersen","Classics",2010,"","hammerandson.com","http://www.hammerandson.com/cocktailclassics/Prospect.pdf","https://scholar.google.com/scholar?cites=16215132454084347310&as_sdt=2005&sciodt=0,5&hl=en",48,"2021-05-06 20:54:20","PDF","","","",,,,,1,0.09,1,1,11,"… the woman in the aisle seat, row 12 upgrades the idea of a standard glass of wine to a Margarita … This predecessor of the Martini was invented in the early 1860's. Made with Italian vermouth which is red and sweet where the Martini is made with dry white vermouth from France …"
1,"PS Panesar, VK Joshi, V Bali, R Panesar","Technology for Production of Fortified and Sparkling Fruit Wines",2017,"… and Technology of Fruit Wine …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128008508000090","https://scholar.google.com/scholar?cites=10021381475998625226&as_sdt=2005&sciodt=0,5&hl=en",58,"2021-05-06 20:54:20","","","","",,,,,1,0.25,0,4,4,"… These types of wines are quite popular in European countries and in the United States in spite of their commercial production in Russia and Poland (Griebel, 1955, Amerine et al., 1980) … The most essential feature of base wine for conversion into vermouth is that it …"
1,"G Gmel, KD Shield, J Rehm","Tools for estimating alcohol consumption",2013,"Alcohol: Science, Policy and Public …","books.google.com","https://books.google.com/books?hl=en&lr=&id=QXZoAgAAQBAJ&oi=fnd&pg=PA107&dq=wermouth+wine+martini&ots=76SpD9lWZA&sig=XQkLE-zjSzIodxC_TstmSbg6xDs","https://scholar.google.com/scholar?cites=357120834450276693&as_sdt=2005&sciodt=0,5&hl=en",104,"2021-05-06 20:54:20","","","","",,,,,1,0.13,0,3,8,"… data is considered to be as follows: beer (barley beer 5%), wine (grape wine 12%, must ofgrape 9%, vermouth 16%), spirits … a glass of white wine at noon, a glass of beer • in the evening, a glass of red wine (Kirsch, Whisky, Liqueur, etc.) Aperitife (Martini, Campari, Pastis …"
0,"C Parkhill","Vermouth",2011,"Lifted Brow, The","search.informit.com.au","https://search.informit.com.au/documentSummary;dn=791363477856227;res=IELLCC","",3,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,10,"… American domestic vermouth used to be similarly dire, but two idiosyncratic products— Quady Winery's Vya range and Sutton Cellars' Brown Label dry vermouth—are slowly changing that … The amount of alcohol and sugar in a vermouth (or any fortified wine) will determine …"
0,"A Ford","Vermouth: A Sprited Revival, with 40 Modern Cocktails",2015,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=bwlYBQAAQBAJ&oi=fnd&pg=PT6&dq=vermouth+wine+martini&ots=BIiPPwpTa6&sig=tuJcBTfSQbFSzEe3KFRTrGk0Ua4","",5,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,6,"… If this is the case, the Egyptians were making an infused wine in 3150 BCE with as many different flavor components as Imbue Vermouth from Oregon … chemical analyses show, many of the plants that could account for the compounds found in these ancient wines were not …"
0,"BS Epstein","Strong, Sweet and Dry: A Guide to Vermouth, Port, Sherry, Madeira and Marsala",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=xB-_DwAAQBAJ&oi=fnd&pg=PT6&dq=vermouth+wine+martini&ots=0P6NTl0VuU&sig=en7WWLGXIhu1XeyMVcM79XHXCIY","",6,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,2,"… order to be classed as a vermouth, it must be composed of at least 75% of wine, have a … wines, the herbs, the spices and even the production methods … Roberto Bava of Cocchi vermouth has been researching Futurism and published a book about its history, including its cocktails …"
0,"JA Bevan","A Spirited Guide to Vermouth: An aromatic journey with botanical notes, classic cocktails and elegant recipes",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=rKdyDwAAQBAJ&oi=fnd&pg=PT15&dq=vermouth+wine+martini&ots=60hQPXOe6M&sig=5I7SXn69M7Aiqu1Y4e65qwxgK3w","",7,"2021-05-06 20:54:20","BOOK","","","",,,,,0,0.00,0,1,2,"… vermouth in one hand. So take my lead, pour yourself one, and have the bottle handy. According to the EU, vermouth is a fortified wine that falls into a category of products known as 'aromatised wines'. This category has three …"
0,"SM be Recognised","Current Developments–Asia",,"search.informit.com.au","","https://search.informit.com.au/fullText;dn=656002202722055;res=IELNZC","",9,"2021-05-06 20:54:20","","","","",,,,,0,0.00,0,1,,"… The applicant owns the Louis M. Martini winery, known for their Cabernet Sauvignon wines from the Sonoma and Napa Counties … Here, the Registered Mark was found to have acquired a distinctive character, but only in relation to vermouth and sparkling wine …"
0,"H MARTINI, BO COSMOPOLITAN, E MARTINI…","ON DRAFT",,"yaleclubnyc.org","","http://www.yaleclubnyc.org/files/Grill_menu_fall2015_Dinner_Weekend.pdf","",11,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,4,,"… Amstel Light, Amsterdam, Netherlands 7 Allagash White Ale, Portland, ME 9 Badass Apple Cider, Warwick Valley, NY 8 Beck's Non-Alcoholic, Bremen, Germany 7 Ballast Point Sculpin IPA, San DIego, CA 9 Budweiser, St Louis, MO 6 Corona Extra, Mexico City, Mexico 7 Coors Light, Golden …"
0,"MF Matthews","The Manhattan Cocktail: A Modern Guide to the Whiskey Classic",2016,"The Southeastern Librarian","digitalcommons.kennesaw.edu","https://digitalcommons.kennesaw.edu/cgi/viewcontent.cgi?article=1620&context=seln","",13,"2021-05-06 20:54:20","PDF","","","",,,,,0,0.00,0,1,5,"… The Martini and the Manhattan are equally popular. The Martini contains gin and vermouth … Whiskeys used in Manhattan cocktails are rye whiskey, Irish whiskey, American whiskey, Scotch whiskey, and Bourbon whiskey. Vermouth is wine mixed with brandy …"
